epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.960525,2.12573,3.1506,0.00253,0.21247,0.77315,0.35067,0.18373,1.93875,2.47,0.00254,4e-07,4e-07,0.0960004
2,2.45156,2.53547,2.8829,0.0033,0.20881,0.76852,0.32356,0.16847,1.95919,2.45457,0.00257,8.99109e-07,8.99109e-07,0.0910009
3,3.41703,2.03122,2.47926,0.00237,0.20621,0.76852,0.30967,0.16061,1.95661,2.45923,0.00258,1.39723e-06,1.39723e-06,0.0860014
4,4.466,2.65613,2.77375,0.00246,0.35463,0.34599,0.30977,0.15655,1.97329,2.28458,0.00257,1.89436e-06,1.89436e-06,0.0810019
5,5.5038,2.51484,3.31663,0.00292,0.33699,0.34259,0.30346,0.15111,1.9794,2.26595,0.00259,2.3905e-06,2.3905e-06,0.0760024
6,6.48761,2.21865,2.68638,0.00241,0.33699,0.34259,0.30346,0.15111,1.9794,2.26595,0.00259,2.88565e-06,2.88565e-06,0.0710029
7,7.37019,2.33458,2.5783,0.00237,0.33699,0.34259,0.30346,0.15111,1.9794,2.26595,0.00259,3.3798e-06,3.3798e-06,0.0660034
8,8.41266,2.81973,2.8738,0.00285,0.31047,0.33333,0.29703,0.14706,1.98679,2.2874,0.00259,3.87297e-06,3.87297e-06,0.0610039
9,9.52271,1.59909,2.5533,0.00175,0.31047,0.33333,0.29703,0.14706,1.98679,2.2874,0.00259,4.36515e-06,4.36515e-06,0.0560044
10,10.5265,2.26331,2.66588,0.00253,0.31047,0.33333,0.29703,0.14706,1.98679,2.2874,0.00259,4.85634e-06,4.85634e-06,0.0510049
11,11.5344,2.17865,2.67234,0.00269,0.30771,0.34722,0.29183,0.14285,1.99709,2.3035,0.00262,5.34654e-06,5.34654e-06,0.0460053
12,12.4851,1.65597,2.65612,0.00155,0.30771,0.34722,0.29183,0.14285,1.99709,2.3035,0.00262,5.83575e-06,5.83575e-06,0.0410058
13,13.4963,3.11598,3.18766,0.00301,0.30771,0.34722,0.29183,0.14285,1.99709,2.3035,0.00262,6.32397e-06,6.32397e-06,0.0360063
14,14.4417,2.02085,3.32069,0.00211,0.30771,0.34722,0.29183,0.14285,1.99709,2.3035,0.00262,6.8112e-06,6.8112e-06,0.0310068
15,15.5649,1.57461,3.21398,0.0024,0.30771,0.34722,0.29183,0.14285,1.99709,2.3035,0.00262,7.29744e-06,7.29744e-06,0.0260073
16,16.5572,1.72215,2.51908,0.0019,0.3037,0.34722,0.28159,0.13841,2.00058,2.32224,0.00265,7.78268e-06,7.78268e-06,0.0210078
17,17.557,2.62223,2.88317,0.00273,0.3037,0.34722,0.28159,0.13841,2.00058,2.32224,0.00265,8.26694e-06,8.26694e-06,0.0160083
18,18.5024,1.79555,3.10823,0.00193,0.3037,0.34722,0.28159,0.13841,2.00058,2.32224,0.00265,8.75021e-06,8.75021e-06,0.0110088
19,19.4772,1.87937,2.56737,0.00241,0.3037,0.34722,0.28159,0.13841,2.00058,2.32224,0.00265,9.23249e-06,9.23249e-06,0.00600923
