epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.09432,2.13874,3.1023,0.00255,0.46693,0.49074,0.4153,0.20689,1.93932,2.00701,0.00248,4e-05,4e-05,0.09604
2,3.15084,2.66605,2.74056,0.0035,0.42749,0.49074,0.39074,0.19356,1.94921,2.01765,0.00252,8.99109e-05,8.99109e-05,0.0910899
3,4.30324,2.01818,2.3355,0.00233,0.41991,0.47685,0.37768,0.18764,1.95746,2.03652,0.00253,0.000139723,0.000139723,0.0861397
4,5.46165,2.94136,2.71286,0.00287,0.40296,0.4812,0.36856,0.18283,1.96758,2.0566,0.00256,0.000189436,0.000189436,0.0811894
5,6.62005,2.72007,3.48342,0.00321,0.3766,0.46148,0.3609,0.17748,1.98336,2.08247,0.0026,0.00023905,0.00023905,0.076239
6,7.75824,2.46523,2.63705,0.00274,0.3766,0.46148,0.3609,0.17748,1.98336,2.08247,0.0026,0.000288564,0.000288564,0.0712886
7,9.01817,2.58935,2.57719,0.0027,0.3766,0.46148,0.3609,0.17748,1.98336,2.08247,0.0026,0.00033798,0.00033798,0.066338
8,10.1926,3.14557,2.94226,0.00334,0.37107,0.46708,0.34938,0.17001,2.01623,2.11697,0.00266,0.000387297,0.000387297,0.0613873
9,11.2788,1.73759,2.49813,0.00199,0.37107,0.46708,0.34938,0.17001,2.01623,2.11697,0.00266,0.000436515,0.000436515,0.0564365
10,12.44,2.38716,2.59523,0.00274,0.37107,0.46708,0.34938,0.17001,2.01623,2.11697,0.00266,0.000485634,0.000485634,0.0514856
11,13.5904,2.42233,2.66793,0.00311,0.3634,0.46296,0.33671,0.16312,2.04076,2.15689,0.00272,0.000534654,0.000534654,0.0465347
12,14.6975,1.78716,2.68906,0.00176,0.3634,0.46296,0.33671,0.16312,2.04076,2.15689,0.00272,0.000583575,0.000583575,0.0415836
13,16.0245,3.50028,3.15006,0.00363,0.3634,0.46296,0.33671,0.16312,2.04076,2.15689,0.00272,0.000632397,0.000632397,0.0366324
14,17.1742,2.14262,3.3144,0.00233,0.3634,0.46296,0.33671,0.16312,2.04076,2.15689,0.00272,0.00068112,0.00068112,0.0316811
15,18.3048,1.54746,3.22452,0.00238,0.3634,0.46296,0.33671,0.16312,2.04076,2.15689,0.00272,0.000729744,0.000729744,0.0267297
16,19.4726,1.75209,2.40261,0.00201,0.35302,0.42944,0.32906,0.15989,2.06829,2.20457,0.00278,0.000778268,0.000778268,0.0217783
17,20.6634,2.84512,2.82981,0.00305,0.35302,0.42944,0.32906,0.15989,2.06829,2.20457,0.00278,0.000826694,0.000826694,0.0168267
18,21.9373,2.00259,3.22273,0.00222,0.35302,0.42944,0.32906,0.15989,2.06829,2.20457,0.00278,0.000875021,0.000875021,0.011875
19,23.0802,1.94476,2.43736,0.00255,0.35302,0.42944,0.32906,0.15989,2.06829,2.20457,0.00278,0.000923249,0.000923249,0.00692325
20,24.1894,1.4871,2.77061,0.00202,0.35302,0.42944,0.32906,0.15989,2.06829,2.20457,0.00278,0.000971378,0.000971378,0.00197138
21,25.3014,1.7735,2.83273,0.00208,0.35302,0.42944,0.32906,0.15989,2.06829,2.20457,0.00278,0.0009802,0.0009802,0.0009802
22,26.4396,2.43071,2.65101,0.00335,0.35302,0.42944,0.32906,0.15989,2.06829,2.20457,0.00278,0.00097921,0.00097921,0.00097921
23,27.5744,2.58163,3.11225,0.00289,0.35093,0.43304,0.32785,0.16009,2.08615,2.19722,0.00282,0.00097822,0.00097822,0.00097822
24,28.8135,1.76891,3.17351,0.00215,0.35093,0.43304,0.32785,0.16009,2.08615,2.19722,0.00282,0.00097723,0.00097723,0.00097723
25,29.9211,2.01976,2.13929,0.0026,0.35093,0.43304,0.32785,0.16009,2.08615,2.19722,0.00282,0.00097624,0.00097624,0.00097624
26,31.0373,2.63494,2.45439,0.00285,0.35093,0.43304,0.32785,0.16009,2.08615,2.19722,0.00282,0.00097525,0.00097525,0.00097525
27,32.1648,2.81612,2.61398,0.00274,0.35093,0.43304,0.32785,0.16009,2.08615,2.19722,0.00282,0.00097426,0.00097426,0.00097426
28,33.3286,2.31689,2.6414,0.00257,0.35093,0.43304,0.32785,0.16009,2.08615,2.19722,0.00282,0.00097327,0.00097327,0.00097327
29,34.6601,2.34115,2.25351,0.00274,0.37164,0.49074,0.37097,0.17644,2.1174,2.03654,0.00286,0.00097228,0.00097228,0.00097228
30,35.7971,2.33271,2.37986,0.00251,0.37164,0.49074,0.37097,0.17644,2.1174,2.03654,0.00286,0.00097129,0.00097129,0.00097129
31,36.916,2.16544,2.25943,0.00277,0.37164,0.49074,0.37097,0.17644,2.1174,2.03654,0.00286,0.0009703,0.0009703,0.0009703
32,38.0254,2.57124,2.53376,0.00325,0.37164,0.49074,0.37097,0.17644,2.1174,2.03654,0.00286,0.00096931,0.00096931,0.00096931
33,39.153,2.26034,2.25768,0.00255,0.37164,0.49074,0.37097,0.17644,2.1174,2.03654,0.00286,0.00096832,0.00096832,0.00096832
34,40.2404,1.53179,2.96212,0.00197,0.37164,0.49074,0.37097,0.17644,2.1174,2.03654,0.00286,0.00096733,0.00096733,0.00096733
35,41.6055,2.63119,2.5421,0.00311,0.39477,0.52315,0.40506,0.19169,2.13883,1.89694,0.00289,0.00096634,0.00096634,0.00096634
36,42.7679,1.73786,1.88113,0.00237,0.39477,0.52315,0.40506,0.19169,2.13883,1.89694,0.00289,0.00096535,0.00096535,0.00096535
